wo_id,workorder_type,part_id,part_description,quantity,status,open_date,close_date,required_date,routing_template,act_lab_cost,act_bur_cost,act_ser_cost,act_mat_cost,desired_rls_date,sched_start_date,sched_finish_date,outside_service,service_date,vendor_id,site_id,demand_order_line_id,created_at
WO-00001,W,P-10025,Actuator Bracket Assembly,1.0,closed,2025-06-27,2025-07-19,2025-07-11,MACHINED,57.1,28.6,1080.0,149.74,2025-06-27,2025-06-27,2025-07-15,0,,,SITE-1,130,2026-09-21 14:37:59
WO-00002,W,P-10012,Stainless Steel Bracket 304 SS,25.0,unreleased,2024-11-10,,2026-07-01,MACHINED,0.0,0.0,0.0,0.0,2024-11-10,2024-11-10,2024-11-14,0,,,SITE-1,9,2026-09-21 14:37:59
WO-00003,M,P-10024,Machined Housing — Fuel Control,4.0,closed,2025-06-29,2026-01-16,2026-05-11,WELDMENT,99.64999999999999,50.27,1170.0,58.43,2025-06-29,2025-06-29,2025-12-14,0,,,SITE-1,129,2026-09-21 14:37:59
WO-00004,W,P-10025,Actuator Bracket Assembly,25.0,closed,2025-03-09,2025-04-29,2025-04-19,WELDMENT,91.48,45.3,0.0,413.69,2025-03-09,2025-03-09,2025-04-20,0,,,SITE-1,131,2026-09-21 14:37:59
WO-00005,M,P-10012,Stainless Steel Bracket 304 SS,2.0,closed,2025-11-18,2026-01-21,2026-01-18,MACHINED,51.07,25.87,0.0,96.27,2025-11-18,2025-11-18,2026-01-08,0,,,SITE-1,17,2026-09-21 14:37:59
WO-00006,M,P-10011,Aluminum Rib Assembly 7075-T6,1.0,closed,2024-01-22,2024-04-13,2024-04-20,WELDMENT,97.27,48.37,0.0,218.4,2024-01-22,2024-01-22,2024-03-30,0,,,SITE-1,12,2026-09-21 14:37:59
WO-00007,M,P-10010,Titanium Bulkhead Frame 6Al-4V,1.0,closed,2024-03-01,2026-01-14,2026-04-14,AIRFRAME,185.84,93.24,0.0,0.0,2024-03-01,2024-03-01,2025-09-22,0,,,SITE-1,127,2026-09-21 14:37:59
WO-00008,M,P-10025,Actuator Bracket Assembly,2.0,closed,2025-11-16,2026-01-19,2026-01-31,FASTENER,10.59,5.63,0.0,0.0,2025-11-16,2025-11-16,2025-12-29,0,,,SITE-1,131,2026-09-21 14:37:59
WO-00009,M,P-10036,Machined Spar Cap Al 7075,5.0,closed,2025-02-20,2026-01-21,2026-01-22,AIRFRAME,196.42,99.19,0.0,67.66,2025-02-20,2025-02-20,2025-11-26,0,,,SITE-1,133,2026-09-21 14:37:59
WO-00010,M,P-10024,Machined Housing — Fuel Control,2.0,closed,2024-02-25,2026-01-21,2026-05-10,MACHINED,54.39,27.85,0.0,440.96,2024-02-25,2024-02-25,2025-09-04,0,,,SITE-1,128,2026-09-21 14:37:59
WO-00011,M,P-10011,Aluminum Rib Assembly 7075-T6,2.0,closed,2025-04-04,2025-04-28,2025-05-05,FASTENER,10.0,5.359999999999999,0.0,347.16,2025-04-04,2025-04-04,2025-04-20,0,,,SITE-1,2,2026-09-21 14:37:59
WO-00012,W,P-10036,Machined Spar Cap Al 7075,50.0,unreleased,2025-03-29,,2026-09-09,MACHINED,0.0,0.0,0.0,0.0,2025-03-29,2025-03-29,2025-04-04,0,,,SITE-1,132,2026-09-21 14:37:59
WO-00013,M,P-10036,Machined Spar Cap Al 7075,2.0,closed,2025-02-20,2025-04-19,2025-05-07,MACHINED,51.64,26.35,0.0,229.24,2025-02-20,2025-02-20,2025-04-07,0,,,SITE-1,132,2026-09-21 14:37:59
WO-00014,M,P-10024,Machined Housing — Fuel Control,4.0,closed,2025-02-03,2025-04-01,2025-03-22,FASTENER,11.33,5.63,0.0,60.75,2025-02-03,2025-02-03,2025-03-13,0,,,SITE-1,128,2026-09-21 14:37:59
WO-00015,M,P-10024,Machined Housing — Fuel Control,1.0,closed,2025-07-23,2026-01-20,2026-05-01,WELDMENT,87.56,43.870000000000005,0.0,623.62,2025-07-23,2025-07-23,2025-12-21,0,,,SITE-1,129,2026-09-21 14:37:59
WO-MRP-001,M,MCH-51001,"Longeron Splice, Fwd Fuselage",42.0,released,2026-01-01,,2026-07-01,MACHINED,0.0,0.0,0.0,0.0,,,,0,,,SITE-1,27,2026-09-21 14:38:00
WO-MRP-002,M,MCH-51002,"Torque Tube, Wing Station 42",24.0,firmed,2026-01-01,,2026-09-12,MACHINED,0.0,0.0,0.0,0.0,,,,0,,,SITE-1,28,2026-09-21 14:38:00
WO-MRP-003,M,MCH-51003,"Bulkhead Frame, Flap Track",29.0,released,2026-01-01,,2026-07-14,MACHINED,0.0,0.0,0.0,0.0,,,,0,,,SITE-1,29,2026-09-21 14:38:00
WO-MRP-004,M,MCH-51004,"Hinge Fitting, Nacelle Assy",28.0,unreleased,2026-01-01,,2026-08-20,MACHINED,0.0,0.0,0.0,0.0,,,,0,,,SITE-1,30,2026-09-21 14:38:00
WO-MRP-005,M,MCH-51005,"Machined Rib, Empennage",17.0,released,2026-01-01,,2026-09-18,MACHINED,0.0,0.0,0.0,0.0,,,,0,,,SITE-1,31,2026-09-21 14:38:00
WO-PLN-0001,M,MCH-51001,"Longeron Splice, Fwd Fuselage",10.0,unreleased,,,2026-08-28,,0.0,0.0,0.0,0.0,2026-01-13,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0002,M,MCH-51002,"Torque Tube, Wing Station 42",15.0,unreleased,,,2027-02-25,,0.0,0.0,0.0,0.0,2026-01-21,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0003,M,MCH-51003,"Bulkhead Frame, Flap Track",20.0,unreleased,,,2026-09-07,,0.0,0.0,0.0,0.0,2026-01-19,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0004,M,MCH-51004,"Hinge Fitting, Nacelle Assy",25.0,unreleased,,,2026-07-07,,0.0,0.0,0.0,0.0,2026-01-08,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0005,M,MCH-51005,"Machined Rib, Empennage",30.0,unreleased,,,2026-08-17,,0.0,0.0,0.0,0.0,2026-01-15,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0006,M,MCH-51006,"Spar Fitting, Center Wing Box",35.0,unreleased,,,2027-02-08,,0.0,0.0,0.0,0.0,2026-01-02,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0007,M,MCH-51007,"Gusset Plate, Aft Pylon",40.0,unreleased,,,2026-08-14,,0.0,0.0,0.0,0.0,2026-01-02,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0008,M,MCH-51008,"Actuator Bracket, MLG Bay",45.0,unreleased,,,2026-11-24,,0.0,0.0,0.0,0.0,2026-01-27,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0009,M,MCH-51009,"Longeron Splice, Fwd Fuselage",10.0,unreleased,,,2026-09-26,,0.0,0.0,0.0,0.0,2026-01-02,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0010,M,MCH-51010,"Gusset Plate, Aft Pylon",15.0,unreleased,,,2027-01-22,,0.0,0.0,0.0,0.0,2026-02-04,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0011,M,MCH-51011,"Spar Fitting, Center Wing Box",20.0,unreleased,,,2027-03-24,,0.0,0.0,0.0,0.0,2026-01-15,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0012,M,MCH-51012,"Machined Rib, Empennage",25.0,unreleased,,,2027-01-17,,0.0,0.0,0.0,0.0,2026-01-22,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0013,M,MCH-51013,"Hinge Fitting, Nacelle Assy",30.0,unreleased,,,2026-11-27,,0.0,0.0,0.0,0.0,2026-01-22,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0014,M,MCH-51014,"Bulkhead Frame, Flap Track",35.0,unreleased,,,2026-08-15,,0.0,0.0,0.0,0.0,2026-01-15,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0015,M,MCH-51015,"Torque Tube, Wing Station 42",40.0,unreleased,,,2026-11-13,,0.0,0.0,0.0,0.0,2026-02-24,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0016,M,MCH-51016,"Longeron Splice, Fwd Fuselage",45.0,unreleased,,,2027-01-24,,0.0,0.0,0.0,0.0,2026-02-12,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0017,M,MCH-51017,"Actuator Bracket, MLG Bay",10.0,unreleased,,,2026-07-14,,0.0,0.0,0.0,0.0,2026-01-28,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0018,M,MCH-51018,"Gusset Plate, Aft Pylon",15.0,unreleased,,,2027-03-16,,0.0,0.0,0.0,0.0,2026-02-28,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0019,M,MCH-51019,"Spar Fitting, Center Wing Box",20.0,unreleased,,,2027-02-10,,0.0,0.0,0.0,0.0,2026-02-13,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0020,M,MCH-51020,"Machined Rib, Empennage",25.0,unreleased,,,2026-10-01,,0.0,0.0,0.0,0.0,2026-03-17,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0021,M,MCH-51021,"Hinge Fitting, Nacelle Assy",30.0,unreleased,,,2026-07-27,,0.0,0.0,0.0,0.0,2026-02-21,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0022,M,MCH-51022,"Gusset Plate, Aft Pylon",35.0,unreleased,,,2027-03-06,,0.0,0.0,0.0,0.0,2026-02-23,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0023,M,MCH-51023,"Spar Fitting, Center Wing Box",40.0,unreleased,,,2026-12-04,,0.0,0.0,0.0,0.0,2026-03-06,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0024,M,MCH-51024,"Longeron Splice, Fwd Fuselage",45.0,unreleased,,,2027-03-08,,0.0,0.0,0.0,0.0,2026-03-30,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0025,M,MCH-51025,"Actuator Bracket, MLG Bay",10.0,unreleased,,,2027-02-18,,0.0,0.0,0.0,0.0,2026-03-24,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0026,M,P-10010,Titanium Bulkhead Frame 6Al-4V,15.0,unreleased,,,2026-09-11,,0.0,0.0,0.0,0.0,2026-03-05,,,0,,,SITE-1,,2026-09-21 14:38:01
