edge_id,from_table,to_table,relationship_type,join_column,weight,created_at,join_column_description,natural_language_alias,few_shot_example,context
1,po_line,purchase_order,FOREIGN_KEY,po_id,1,2026-09-21 14:37:59,,PO lines belong to a purchase order,,
2,po_line,part,FOREIGN_KEY,part_id,1,2026-09-21 14:37:59,,PO line references a part,,
3,receiving,purchase_order,FOREIGN_KEY,po_id,1,2026-09-21 14:37:59,,Receipt closes against a purchase order,,
4,receiving,suppliers,FOREIGN_KEY,supplier_id,1,2026-09-21 14:37:59,,Receipt records the delivering supplier,,
5,receiving,part,FOREIGN_KEY,part_id,1,2026-09-21 14:37:59,,Receipt records the received part,,
6,payables,purchase_order,FOREIGN_KEY,po_id,1,2026-09-21 14:37:59,,Invoice matches to a purchase order,,
7,payables,suppliers,FOREIGN_KEY,supplier_id,1,2026-09-21 14:37:59,,Invoice issued by a supplier,,
8,purchase_order,suppliers,FOREIGN_KEY,supplier_id,1,2026-09-21 14:37:59,,Purchase order placed with a supplier,,
9,certification,receiving,FOREIGN_KEY,receipt_id,1,2026-09-21 14:37:59,,Cert attached to a receiving line,,
10,certification,part,FOREIGN_KEY,part_id,1,2026-09-21 14:37:59,,Cert covers a specific part,,
11,work_order,part,FOREIGN_KEY,part_id,1,2026-09-21 14:37:59,,Work order manufactures a part,,
12,operation,work_order,FOREIGN_KEY,wo_id,1,2026-09-21 14:37:59,,Routing step belongs to a work order,,
13,operation,shop_resource,FOREIGN_KEY,resource_id,1,2026-09-21 14:37:59,,Routing step runs on a shop resource,,
14,material_issue,work_order,FOREIGN_KEY,wo_id,1,2026-09-21 14:37:59,,Material issued to a work order,,
15,material_issue,part,FOREIGN_KEY,part_id,1,2026-09-21 14:37:59,,Material issue consumes a part,,
16,labor_ticket,work_order,FOREIGN_KEY,wo_id,1,2026-09-21 14:37:59,,Labor ticket posted against a work order,,
17,purchase_order,work_order,FOREIGN_KEY,wo_id,1,2026-09-21 14:37:59,,Outside-service PO tied to a work order,,
18,operation,service,FOREIGN_KEY,service_id,1,2026-09-21 14:37:59,,Outside-service op uses a service definition,,
19,operation,suppliers,FOREIGN_KEY,vendor_id,1,2026-09-21 14:37:59,,Outside-service op dispatched to a supplier,,
20,requirement,operation,FOREIGN_KEY,operation_rowid,1,2026-09-21 14:37:59,,Requirement consumed at a routing operation (work-order level),,
21,requirement,part,FOREIGN_KEY,material_part_id,1,2026-09-21 14:37:59,,Material requirement consumes a part,,
22,requirement,part,FOREIGN_KEY,component_id,1,2026-09-21 14:37:59,,Design-level requirement belongs to a part component (engineering),,
23,requirement,work_order,FOREIGN_KEY,component_id,1,2026-09-21 14:37:59,,Work-order-level requirement belongs to a work order component (manufacturing),,
24,receiving_line,receiving,FOREIGN_KEY,receipt_id,1,2026-09-21 14:38:00,Receipt line belongs to a receiving header,,,
25,receiving_line,po_line,FOREIGN_KEY,po_line_id,1,2026-09-21 14:38:00,Receipt line closes against a purchase-order line,,,
26,receiving_line,part,FOREIGN_KEY,part_id,1,2026-09-21 14:38:00,Receipt line records the received part,,,
27,payable_line,po_line,FOREIGN_KEY,po_line_id,1,2026-09-21 14:38:00,Payable line matches a purchase-order line,,,
28,payable_line,receiving_line,FOREIGN_KEY,receipt_line_id,1,2026-09-21 14:38:00,Payable line matches a receipt line (three-way match),,,
29,receivable,customer_order,FOREIGN_KEY,order_id,1,2026-09-21 14:38:01,,Customer invoice bills a customer order,,
30,receivable_line,receivable,FOREIGN_KEY,invoice_id,1,2026-09-21 14:38:01,,Invoice line belongs to a customer invoice,,
31,receivable_line,customer_order_line,FOREIGN_KEY,order_line_id,1,2026-09-21 14:38:01,,Invoice line bills a customer order line,,
32,gl_events,work_order,FOREIGN_KEY,job_id,1,2026-09-21 14:38:01,,GL event posted against a work order (job),,
33,gl_raw_materials_inventory,gl_events,FOREIGN_KEY,event_id,1,2026-09-21 14:38:01,,RM ledger line hangs off a GL event,,
34,gl_raw_materials_inventory,work_order,FOREIGN_KEY,job_id,1,2026-09-21 14:38:01,,RM ledger line charged to a work order,,
35,gl_raw_materials_inventory,part,FOREIGN_KEY,part_id,1,2026-09-21 14:38:01,,RM ledger line moves a part's material dollars,,
36,gl_wip_inventory,gl_events,FOREIGN_KEY,event_id,1,2026-09-21 14:38:01,,WIP ledger line hangs off a GL event,,
37,gl_wip_inventory,work_order,FOREIGN_KEY,job_id,1,2026-09-21 14:38:01,,WIP ledger line accumulates cost on a work order,,
38,gl_wip_inventory,part,FOREIGN_KEY,part_id,1,2026-09-21 14:38:01,,WIP ledger line tied to the part being built,,
39,gl_finished_goods_inventory,gl_events,FOREIGN_KEY,event_id,1,2026-09-21 14:38:01,,FG ledger line hangs off a GL event,,
40,gl_finished_goods_inventory,work_order,FOREIGN_KEY,job_id,1,2026-09-21 14:38:01,,FG ledger line receives a completed work order's cost,,
41,gl_finished_goods_inventory,part,FOREIGN_KEY,part_id,1,2026-09-21 14:38:01,,FG ledger line stocks the finished part,,
42,gl_job_cost_detail,gl_events,FOREIGN_KEY,event_id,1,2026-09-21 14:38:01,,Job cost detail line hangs off a GL event,,
43,gl_job_cost_detail,work_order,FOREIGN_KEY,job_id,1,2026-09-21 14:38:01,,Job cost detail line belongs to a work order,,
44,receivable_payment,receivable,FOREIGN_KEY,invoice_id,1,2026-09-21 14:38:01,,AR payment installment collected against a customer invoice,,
45,receivable_payment,gl_events,FOREIGN_KEY,source_event_id,1,2026-09-21 14:38:01,,AR payment installment linked to its cash-receipt GL event,,
