concept_id,concept_name,description,domain,synonyms,tags,parent_concept_id,created_at,computation_template
1,DefectSeverityQuality,Defect severity from quality control perspective - focuses on product conformance,quality,,,,2026-09-21 14:37:59,
2,DefectSeverityCost,Defect severity from cost impact perspective - focuses on financial exposure,finance,,,,2026-09-21 14:37:59,
3,DefectSeverityCustomer,Defect severity from customer visibility perspective - focuses on brand risk,customer,,,,2026-09-21 14:37:59,
4,OrderLifecycleState,Order status representing lifecycle stage in fulfillment,operations,,,,2026-09-21 14:37:59,
5,OrderAccountingState,Order status from revenue recognition perspective,finance,,,,2026-09-21 14:37:59,
6,OrderCustomerState,Order status as visible to customer,customer,,,,2026-09-21 14:37:59,
7,DeliveryPerformanceOps,Delivery metrics for operational planning,operations,,,,2026-09-21 14:37:59,AVG(CASE WHEN {receipt_date} IS NOT NULL AND {receipt_date} <= {required_date} THEN 1.0 WHEN {receipt_date} IS NOT NULL AND {receipt_date} > {required_date} THEN 0.0 ELSE NULL END)
8,DeliveryPerformanceSupplier,Delivery metrics for supplier scorecard,quality,,,,2026-09-21 14:37:59,AVG(CASE WHEN {receipt_date} IS NOT NULL AND {receipt_date} <= {required_date} THEN 1.0 WHEN {receipt_date} IS NOT NULL AND {receipt_date} > {required_date} THEN 0.0 ELSE NULL END)
9,DeliveryPerformanceFinance,Delivery metrics for cost/penalty calculation,finance,,,,2026-09-21 14:37:59,AVG(CASE WHEN {receipt_date} IS NOT NULL AND {receipt_date} <= {required_date} THEN 1.0 WHEN {receipt_date} IS NOT NULL AND {receipt_date} > {required_date} THEN 0.0 ELSE NULL END)
10,EquipmentStateProduction,Equipment status for production scheduling,operations,,,,2026-09-21 14:37:59,
11,EquipmentStateMaintenance,Equipment status for maintenance planning,operations,,,,2026-09-21 14:37:59,
12,EquipmentStateCompliance,Equipment status for regulatory compliance,compliance,,,,2026-09-21 14:37:59,
13,FailureSeverityProduction,Failure severity based on production impact,operations,,,,2026-09-21 14:37:59,
14,FailureSeveritySafety,Failure severity based on safety implications,compliance,,,,2026-09-21 14:37:59,
15,FailureSeverityCost,Failure severity based on repair/replacement cost,finance,,,,2026-09-21 14:37:59,
16,NCMDispositionQuality,NCM disposition from quality standpoint,quality,,,,2026-09-21 14:37:59,
17,NCMDispositionFinance,NCM disposition from cost recovery standpoint,finance,,,,2026-09-21 14:37:59,
18,OEEOperational,OEE for shift/line performance tracking,operations,,,,2026-09-21 14:37:59,"SUM({act_run_hrs}) / NULLIF(SUM({run_hrs}), 0)"
19,OEEStrategic,OEE for capital investment decisions,finance,,,,2026-09-21 14:37:59,"SUM({act_atl_lab_cost} + {act_atl_bur_cost}) / NULLIF(SUM({act_run_hrs}), 0)"
20,ARCashReceiptAmount,Dollar amount of cash received in a single payment installment against an accounts-receivable invoice,finance,,,,2026-09-21 14:37:59,
21,ThreeWayMatchState,PO/receipt/invoice three-way match status used to validate AP invoices,finance,,,,2026-09-21 14:37:59,
